co_so_ma,total_orders
HC_DNAI_TRAN_QUOC_TOAN_BH_467,104
HC_HCM_35_THANG_LONG_TAN__454,62
HC_HCM_210_NGUYEN_TRAI_HC_403,51
HC_HCM_PRIVIA_KHANG_DIEN__1270,45
HC_HCM_RAC_XIEC_PHU_THO_H_1372,43
HC_HCM_160_LE_VAN_VIET_TH_767,59
HC_HN_KIM_MA_80,59
HC_KHONG__LIGHT_CITY_VINH_YE_536,36
HC_HCM_962_PHAM_VAN_DONG_542,66
HC_HN_CAO_LO_ONG_ANH_HA__696,30
HC_KHONG__213_TRICH_SAI_HN_751,41
HC_HCM_TUNG_THIEN_VUONG_180,52
DN_INDOCHINA_RIVERSIDE,83
HC_HN_METRO_VAN_QUAN_HN_1276,42
HC_HCM_BEN_VAN_DON_HCM_638,58
HC_HCM_384_HOANG_DIEU_HCM_1329,30
HC_HCM_VINHOMES_BA_SON_406,38
HC_HCM_1B_PHO_QUANG_490,58
HC_HN_FIVIMART_TRANG_AN_75,39
HC_HN_4T2_NOI_BAI_AIRPOR_82,63
HC_HN_226_BACH_MAI_HN_1323,33
HC_BD_PHU_LOI_BINH_DUONG_441,118
HC_BNIN_LOTTE_BAC_GIANG_1319,130
HC_KHONG__KDT_TIEN_CAT_VIET__1375,31
HC_KHONG__TRAN_NGUYEN_HAN_HA_697,40
HC_HCM_G4_G8_TRUONG_SON_413,46
HC_HDUONG_VINCOM_CHI_LINH_458,64
HC_HCM_NOWZONE_HCM_743,33
HC_HCM_SARI_TOWN_SALA_690,50
HC_KHONG__GO_VINH_PHUC_1373,33
HC_LDOMG_A7_SUONG_MAI_DA_LA_1177,51
HC_DNAI_PHAN_DINH_PHUNG_BH_548,66
HC_HN_FIVIMART_NAM_O_66,40
HC_BD_COOPMART_BCONS_BD_1191,110
HC_HN_MUONG_THANH_XA_LA_57,44
HC_HCM_TEN_LUA_HCM_603,56
HC_HCM_331_LE_VAN_VIET_214,63
HC_HCM_URBAN_HILL_D7_358,65
HC_HCM_IMG_1067_152,34
HC_HCM_SADORA_THU_THIEM_823,70
HC_HCM_LE_THI_HA_HOC_MON_663,63
HC_KHONG__KCN_THANG_LONG_2_H_1340,50
HC_LDOMG_BUI_THI_XUAN_DL_583,59
HC_KHONG__HA_NOI_CENTER_POIN_1161,40
HC_HN_VINCOM_LONG_BIEN_H_648,58
HC_HCM_BOTANICA_2_TAN_BIN_1283,61
HC_DN_THAIGRAND_DA_NANG_1255,128
HC_HN_TNR_TOWER_HA_NOI_373,36
HC_HCM_659_XVNT_BINH_THAN_828,42
HC_HCM_IMG_1005_133,38
HC_HCM_287_LIEN_PHUONG_TH_842,60
HC_HP_HUU_NGHI_HP_31,41
HC_HN_VIGLACERA_TOWER_HN_1248,40
HC_DN_AIRPORT_3,83
HC_BD_43_PHAN_INH_PHUNG_260,136
HC_HCM_HIGHLANDS_TAN_THAN_585,66
HC_HCM_366_LE_VAN_QUOI_HC_639,56
HC_HN_129_THAI_THINH_333,52
HC_HCM_BEN_XE_MIEN_ONG_CU_868,66
HC_HCM_288_THONG_NHAT_485,32
HC_KHONG__SH16_130_VINHOMES__658,43
HC_KH_105_DA_TUONG_NT_427,70
HC_HP_CHXD_THANH_TO_HAI__870,36
HC_KHONG__29_NGUYEN_TRI_PHUO_465,61
HC_HCM_LE_TRONG_TAN_468,69
HC_HCM_KENH_TAN_HOA_TAN_P_773,69
HC_HCM_398_NGUYEN_XI_BINH_836,69
HC_HCM_184_LAM_VAN_BEN_239,61
HC_KHONG__30_THANG_4_TAY_NIN_728,52
HC_HN_50_CHU_HUY_MAN_LON_659,64
HC_HCM_CHUNG_CU_VINH_HOI_740,52
HC_HN_MEGA_THANG_LONG_626,41
HC_KHONG__HA_O_CENTROSA_711,48
HC_DNAI_396_NGUYEN_AI_QUOC_735,81
HC_HCM_THE_MANOR_132,32
HC_HP_CABLE_CAR_CAT_HAI__878,38
HC_HCM_OPERA_HOUSE_165,70
HC_KHONG__30_QUANG_TRUNG_QUA_522,60
HC_HN_VIN_UNIVERSITY_HN_781,47
HC_HN_VINAFOR_68,62
HC_HCM_TOPS_MARKET_AU_CO_550,36
HC_HN_SUNSQUARE_45,44
HC_HP_TD_PLAZA_29,31
HC_KHONG__BEN_TAU_SONG_HONG__1184,55
HC_HN_EUROWINDOW_83,49
HC_KHONG__HUNG_VUONG_VIET_TR_434,34
HC_HN_THE_K_PARK_291,53
HC_HCM_830_TRUONG_SA_D3_1287,66
HC_HN_CHO_MO_39,37
HC_KHONG__KIOSK_SAN_BAY_PHU__506,136
HC_HCM_82_NG_CHI_THANH_D1_414,50
HCM_LY_TU_TRONG,70
HC_HCM_VO_VAN_NGAN_THU_DU_1162,33
HC_KHONG__543_KIM_MA_350,39
HC_HN_T1_SAN_BAY_NOI_BAI_302,49
HC_KHONG__287_AU_CO_317,33
HC_HCM_BAMBOO_AIRWAYS_PHU_786,43
HC_HP_VINFAST_FACTORY_HP_817,65
HC_HN_VINACONEX_3_HA_NOI_650,63
HC_HN_AI_HOC_BACH_KHOA_287,54
HC_HCM_NGUYEN_TRONG_TUYEN_280,46
HC_HN_FIVIMART_MY_INH_61,54
HC_HCM_AEON_BINH_TAN_172,51
HC_HCM_DINH_DOC_LAP_2_404,47
HC_NGHE_CONG_VIEN_VINH_349,33
HC_NT_CITADENE_NHA_TRANG_18,68
HC_KHONG__VINCOM_THAI_BINH_346,64
HC_HCM_415_LE_DAI_HANH_D1_791,63
HC_HN_HANDICO_53,41
HC_HCM_97_UNG_VAN_KHIEM_774,34
HC_HCM_236_TO_NGOC_VAN_466,35
HC_BRVT_75_THUY_VAN_VUNG_T_559,53
HC_DN_CELIA_NESTA_DA_NAN_1189,119
HC_DN_INTL_AIRPORT_6,100
HC_HN_KCN_BAC_THANG_LONG_1311,38
HC_DN_VIP_AIRPORT_7,101
HC_HCM_LUMIERE_RIVERSIDE__827,66
HC_HN_CIPUTRA_CLUB_297,40
HC_HCM_BIG_C_AN_LAC_175,56
HC_HCM_MAXI_3_2_148,50
HC_HN_METRO_CAT_LINH_GAT_1274,63
HC_HCM_HUNG_VUONG_D5_712,68
HC_KHONG__CMT8_BA_RIA_591,58
HC_HN_VINCOM_BA_TRIEU_46,56
HC_HCM_BEN_XE_MIEN_TAY_455,30
HC_HN_BH68_VINHOMES_OCEA_706,70
HC_HCM_99_QUACH_DIEU_HCM_1363,44
HC_HCM_631_LE_DUC_THO_GO__1149,61
HC_KHONG__TRAN_HUNG_DAO_CA_M_641,122
HC_HUE_HOANG_VAN_THU_HUE_580,56
HC_HCM_PICO_201,69
HC_CT_TRAN_VAN_KHEO_CAN__692,113
HC_HN_BIDV_HANG_VOI_67,52
HC_HCM_SARIMI_SALA_THU_DU_1297,46
HC_HN_S205_VH_SMART_CITY_616,47
HC_HCM_VINCOM_GRANDPARK_D_799,57
HC_HUE_2_16,35
HC_HCM_HAI_BA_TRUNG_129,58
HC_HCM_LAC_LONG_QUAN_QUAN_793,43
HC_HCM_TRADE_CENTER_D10_184,57
HC_BNIN_FRASERS_KCN_YEN_PH_907,112
HC_HN_NGUY_NHU_KON_TUM_H_819,45
HC_LDOMG_LIEN_KHUONG_AIRPOR_644,55
HC_HCM_NGUYEN_ANH_THU_279,54
HC_HCM_BA_THANG_HAI_179,34
HC_HN_VINCOM_SKYLAKE_306,34
HC_HN_DAI_HOC_DAI_NAM_HN_777,40
HC_KHONG__NGUYEN_THI_LUU_BAC_695,69
HC_HCM_IMG_1196_171,63
HC_HCM_45_LY_CHINH_THANG_409,36
HC_HN_PVI_TOWER_334,43
HC_HCM_VINCOM_NGUYEN_DUY__211,68
HC_HCM_NGUYEN_THI_TU_BINH_1263,39
HC_HN_173_TRUONG_CHINH_H_1143,47
HC_HCM_H_ZONE_NGUYEN_HUU__1367,59
HC_BNIN_GOLDEN_PARK_BN_497,85
HC_BNIN_THANH_BINH_BAC_NIN_521,96
HC_CT_VINCOM_HUNG_VUONG__527,84
HC_KHONG__VINCOM_HOA_BINH_502,40
HC_DLAK_BUON_MA_THUOT_AIRP_1175,118
HC_HCM_601_CMT8_272,38
HC_HCM_LE_VAN_THO_GO_VAP_701,49
HC_QN_57_BAI_TU_LONG_CAM_596,30
HC_HCM_TRAN_QUANG_KHAI_160,59
HC_HCM_8G_LAM_VAN_BEN_QUA_832,42
HC_HCM_BEN_BACH_ANG_810,53
HC_DNAI_LOTTE_MART_ONG_NAI_229,92
HC_HN_MIPEC_XUAN_THUY_HN_1156,32
HC_BD_VINCOM_DI_AN_379,101
HC_KHONG__ECOLIFE_58,41
HC_HUE_CONG_VIEN_KIM_LONG_1360,54
HC_HN_GOLDEN_HEART_332,46
HC_HN_15_KHUAT_DUY_TIEN__724,54
HC_HCM_BAU_CAT_215,52
HC_HCM_NO_2_TRUONG_THO_TH_1166,57
HC_HCM_284_HOA_BINH_TAN_P_666,31
HC_QN_GOLDEN_BAY_28,37
HC_DNAI_210_SO_5_BIEN_HOA_228,114
HC_BNIN_FRASERS_2_KCN_YEN__909,88
CN_Q1,63
HC_HN_SOUTH_BUILDING_339,70
HC_HCM_TAN_SON_NHI_154,58
HC_BNIN_148_LY_ANH_TONG_BA_1193,95
HC_HCM_DRAGON_HILL_1_NHA__525,46
HC_KHONG__449_CMT8_TAY_NINH_619,58
HC_HCM_NEW_CITY_213,39
HC_HCM_CMC_SPACE_D7_816,60
HC_HCM_41_TRAN_NAO_271,62
HC_KH_VINH_DIEM_TRUNG_NT_430,33
HC_HCM_HUNG_VUONG_FOOD_CO_173,35
HC_DNAI_LE_DUAN_LONG_THANH_716,71
HC_KHONG__PVOIL_CHXD_VINH_YE_904,67
HC_HCM_SAN_BAY_TAN_SON_NH_188,67
HC_DN_KIOSK_4,92
HC_HCM_CENTRAL_POINT_198,68
HC_DN_VINCOM_A_NANG_530,84
HC_KHONG__125_NGO_QUYEN_VINH_628,48
HC_DNAI_HUNG_AO_VUONG_125,107
HC_HUE_78_NGUYEN_HUE_HUE_361,32
HC_HCM_HUNG_VUONG_PLAZA_D_1291,53
HC_DLAK_NGUYEN_TAT_THANH_B_678,96
HC_QN_QUANG_YEN_POST_OFF_1242,66
HC_KH_VINWONDERS_NHA_TRA_682,59
HC_DNAI_BIG_C_TAN_HIEP_123,85
HC_KHONG__VINCOM_HA_TINH_399,40
HC_DN_BA_NA_HILL_DA_NANG_913,93
HC_KHONG__38_40_LE_THAI_TO_H_910,60
HC_LDOMG_QUOC_LO_20_UC_TRON_752,43
HC_KHONG__CHXD_NO_8_QL1A_HAU_893,54
HC_HCM_WEST_GATE_BINH_CHA_1284,47
HC_KHONG__117_NGUYEN_VAN_QUA_308,30
HC_HN_VINHOMES_STAR_CITY_329,67
HC_HCM_VINCOM_LE_VAN_VIET_204,53
HC_HCM_58E_BACH_DANG_191,68
HC_HCM_LY_THUONG_KIET_HM_421,49
HC_BD_68_NO_9_TTHC_DI_AN_604,71
HC_HCM_DUONG_BA_TRAC_QUAN_811,47
HC_KGIANG_NGUYEN_TRUNG_TRUC__654,62
HC_HP_178_VAN_CAO_268,51
HC_HN_MIPEC_HA_ONG_HN_764,37
HC_KHONG__BAI_BIEN_SAM_SON_T_637,56
HC_KHONG__VICTORY_PLAZA_102,67
HC_HP_VINCOM_HAI_PHONG_32,42
HC_HCM_NGUYEN_ANH_THU_D12_686,69
HC_HCM_399_PHAN_HUY_ICH_282,44
HC_HN_VTC_ONLINE_52,37
HC_KGIANG_CABLE_CAR_AN_THOI__875,45
HC_HP_103_TAM_BAC_HP_1146,33
HC_HCM_SG_CENTRE_168,59
HC_HCM_99_NGO_QUYEN_QUAN__840,38
HC_KHONG__VINCOM_SOC_TRANG_471,50
HC_HCM_1215_BA_THANG_HAI__812,67
HC_HCM_249_HOANG_VAN_THU__899,49
HC_HCM_VINCOM_THU_UC_206,66
HC_HCM_LUONG_KHAI_SIEU_TH_900,66
HC_HN_28_THANH_NIEN_HN_1279,56
HC_KHONG__VINCOM_QUANG_NGAI_445,38
HC_HN_HO_GUOM_HA_ONG_54,49
HC_KHONG__ETOWN_216,34
HC_KHONG__TRAN_HUNG_DAO_DI_A_549,46
HC_HCM_REE_TOWER_HCM_1366,68
HC_HN_FLORENCE_HA_NOI_533,68
HC_BD_VIETSING_RESIDENCE_587,134
HC_HN_THE_LIGHT_HA_NOI_360,45
HC_DN_9_ANG_THUY_TRAM_247,105
HC_DNAI_BIG_C_ONG_NAI_122,101
HC_HCM_PHAN_VAN_HON_HOC_M_1215,58
HC_CT_CHXD_NO_4_QL91_CAN_891,81
HC_KHONG__72_HUNG_VUONG_BA_R_558,49
HC_HCM_105_DOC_LAP_TAN_PH_576,36
HC_NGHE_BIG_C_VINH_107,41
HC_HCM_606_DIEN_BIEN_PHU_814,32
HC_KHONG__TTTM_TIMES_CITY_HN_911,56
HC_KHONG__AEON_TAN_AN_LONG_A_1163,36
HC_HCM_252_LY_THUONG_KIET_1345,65
HC_DN_NGO_VAN_SO_DNG_391,106
HC_HCM_HA_HUY_GIAP_D12_1289,47
HC_HN_01_HANG_BAC_330,68
HC_LOAN_HUNG_VUONG_TAN_AN_727,40
HC_BD_BINH_DUONG_SQUARE_114,108
HC_HCM_4_TO_KY_D12_518,46
HC_HCM_LE_TRUNG_NGHIA_TAN_1305,47
HC_DN_76_DUY_TAN_250,120
HC_HP_2A_LE_HONG_PHONG_H_401,66
HC_HCM_QUOC_LO_13_THUDUC_623,33
HC_HUE_PHU_BAI_AIRPORT_3_864,59
HC_HN_LOTTE_MALL_WEST_LA_708,54
HC_KH_112_HAI_THANG_TU_N_429,50
HC_HCM_PEARL_PLAZA_130,67
HC_CT_91_3_2_CAN_THO_792,87
HC_HCM_LONG_TOWER_BINH_TH_1138,58
HC_BRVT_30_THANG_4_VUNG_TA_737,51
HC_KGIANG_VINWONDERS_PHU_QUO_433,48
HC_DNAI_VINCOM_BIEN_HOA_2_844,96
HC_HN_NEW_HORIZON_49,63
HC_HN_WAREHOUSE_NOI_BAI_1210,67
HC_HUE_VINCOM_PLAZA_HUE_264,59
HC_CT_SENSE_CITY_CT_118,134
HC_KHONG__D8_T1_NOI_BAI_HA_N_374,64
HC_HCM_THISO_MALL_THU_THI_569,44
HC_KHONG__CHU_LAI_AIRPORT_665,35
HC_KHONG__195_TRUNG_SON_351,43
HC_DN_VO_NGUYEN_GIAP_DA__1224,84
HC_KH_CAM_RANH_AIRPORT_539,46
HC_KHONG__VINCOM_SHOPHOUSE_105,105
HC_KHONG__107_TRAN_PHU_BMT_714,79
HC_BD_EAST_GATE_APARTMEN_617,94
HC_BD_NGUYEN_VAN_TIET_231,76
HC_KGIANG_173_TRAN_PHU_RACH__642,51
HC_HN_109_DUONG_LANG_HN_805,64
HC_HN_90_TRAN_THAI_TONG__1231,60
HC_HCM_158_PHAM_VAN_CHIEU_420,31
HC_KHONG__TOA_NHA_SAI_GON_GI_321,59
HC_HN_FIVIMART_HA_ONG_55,35
HC_HCM_SENSE_CITY_THU_UC_243,32
HC_HCM_HIGHLANDS_ROASTERY_1336,45
HC_HCM_PVOIL_CHXD_SO_7_TH_858,33
HC_HCM_KCN_MY_PHUOC_3_BEN_1223,50
HC_BRVT_KNG_PHU_MY_438,67
HC_HCM_721_HUYNH_TAN_PHAT_237,53
HC_KHONG__304_LE_HONG_PHONG_221,49
HC_HN_VINHOMES_GREEN_BAY_289,67
HC_HN_PARK_HILL_51,56
HC_HCM_SO_7_BINH_TAN_153,68
HC_HCM_45_LY_CHINH_THANG_281,45
HC_HN_CAPITAL_PLACE_HA_N_675,48
HC_BD_SO_8_THU_DAU_MOT_544,112
HC_DN_INDOCHINA_A_NANG_10,88
HC_HCM_TO_KY_2_D12_687,48
HC_HN_ME_LINH_PLAZA_459,50
HC_HCM_43_TRUONG_CHINH_D1_834,65
HC_HCM_VINCOM_NAM_LONG_145,43
HC_DNAI_THE_AMAZING_BAY_DO_1361,96
HC_HN_VINCOM_DAN_PHUONG__1380,40
HC_DN_2_THANG_9_DA_NANG_863,75
HC_HCM_RIVIERA_POINT_D7_411,48
HC_DNAI_HUNG_VUONG_TRANG_B_605,94
HC_HN_OCEAN_PARK_325,42
HC_HUE_VTV_HUE_759,54
HC_HCM_BA_HOM_QUAN_6_797,55
HC_KHONG__ECOPARK_2_344,58
HC_HP_384_LE_THANH_TONG__1381,31
HC_HN_01_LE_DUAN_HA_NOI_730,36
HC_HP_PHO_MOI_THUY_NGUYE_1164,57
HC_DNAI_NGUYEN_THI_MINH_KH_676,80
HC_HP_VINCOM_IMPERIA_HAI_270,51
Q1,61
HC_HCM_DHSP_KY_THUAT_TPHC_830,35
HC_DN_957_NG_TAT_THANH_D_876,83
HC_HN_55_NGUYEN_LUONG_BA_867,68
HC_HCM_VTI_LIC_NGUYEN_CO__1251,40
HC_HP_PVOIL_CHXD_AN_HAI__906,66
HC_AGIANG_TRAN_HUNG_DAO_LX_377,46
HC_BTRE_ONG_KHOI_BEN_TRE_717,82
HC_QN_MUONG_THANH_HA_LON_1144,34
HC_KHONG__LY_THUONG_KIET_ONG_760,94
HC_KGIANG_10A_HUNG_VUONG_PQ_432,39
HC_KHONG__296_NGUYEN_VIET_XU_1316,42
HC_HCM_359_KINH_DUONG_VUO_755,32
HC_HN_TRAN_NGUYEN_DANG_77,51
HC_BNIN_NGUYEN_CAO_BAC_NIN_266,68
HC_HCM_LY_THUONG_KIET_D11_416,68
HC_HN_N04_HOANG_DAO_THUY_1205,66
HC_HCM_VIETTEL_CMT8_150,44
HC_HCM_26_LIEU_BINH_HUONG_1260,50
HC_DN_185A_PHAN_CHAU_TRI_532,98
HC_HN_NGUYEN_KHANH_TOAN_74,35
HC_HCM_CHO_LON_POST_OFFIC_1147,46
HC_DN_VTV8_DA_NANG_387,80
HC_HCM_VH_GRAND_PARK_2_629,67
HC_HCM_CRESCENT_RESIDENCE_507,68
HC_HCM_SATRA_MALL_QUAN_6_847,47
HC_HN_FV3_FPT_HOA_LAC_1157,64
HC_HCM_TRUONG_SA_HCM_741,34
HC_HCM_803_HOANG_SA_796,46
HC_HN_VTV_OUTSIDE_88,33
HC_HCM_71_LY_TU_TRONG_492,38
HC_HN_BT2_HATECO_APOLLO__595,38
HC_HDUONG_GO_HAI_DUONG_1213,64
HC_BRVT_24_HA_LONG_VUNG_TA_771,59
HC_BRVT_VUNG_TAU_CENTER_486,58
HC_KHONG__AN_PHU_THINH_QUY_N_366,111
HC_HCM_ONEHUB_THU_UC_885,57
HC_KHONG__TTC_PHAN_THIET_693,79
HC_HCM_LAKAI_149,38
HC_HCM_261_TRAN_PHU_D5_829,52
HC_HCM_425_NGUYEN_OANH_GO_1327,58
HC_CT_NO_01_3_2_CAN_THO_227,81
HC_KHONG__TRUNG_MY_TAY_278,43
HC_HP_SAN_BAY_CAT_BI_37,38
HC_HN_IDMC_MY_DINH_BUILD_1249,45
HC_HCM_KINH_DUONG_VUONG_D_775,70
HC_HCM_827_AU_CO_TAN_PHU_1256,68
HC_HN_TRUNG_HOA_301,33
HC_AGIANG_ONG_XUYEN_HOTEL_310,50
HC_HN_TAN_TAY_O_HA_NOI_615,56
HC_DN_BA_NA_HILL_2_DA_NA_1173,110
HC_HCM_SUNRISE_CITY_VIEW__311,37
HC_HCM_180_THACH_LAM_235,49
HC_HCM_MARINA_CENTRAL_D1_1167,59
HC_HP_SHOLEGA_HAI_PHONG_34,48
HC_HCM_TRAN_THI_NAM_HCM_1364,65
HC_BNIN_KCN_QUANG_CHAU_BAC_1377,91
HC_HN_HISTORICAL_MUSEUM__818,68
HC_HN_AEON_MALL_HA_ONG_327,50
HC_HN_HYUNDAI_HILLSMALL__450,40
HC_HUE_THACH_HAN_HUE_667,54
HC_DNAI_HOAN_MY_BIEN_HOA_D_1165,61
HC_KHONG__GO_MALL_THAI_BINH_475,62
HC_HN_HA_NOI_POST_OFFICE_877,52
HC_KH_LOTTE_NHA_TRANG_20,48
HC_KHONG__MUONG_THANH_PHU_TH_1199,65
HC_HP_PRUKSA_HAI_PHONG_535,69
HC_HN_RMIT_HA_NOI_561,63
HC_HCM_127C_DINH_TIEN_HOA_419,49
HC_HCM_LE_VAN_SY_196,36
HC_HCM_SAIGON_PAVILLON_163,55
HC_HCM_SAIGON_PEARL_131,45
HC_NGHE_TRAN_PHU_VINH_765,63
HC_KH_LE_THANH_PHUONG_NH_252,30
HC_HN_FELIZ_HOME_HOANG_M_1158,34
HC_HCM_NGUYEN_THI_DINH_HC_511,46
HC_DN_179_NUI_THANH_244,128
HC_HN_HANOI_CENTRE_NGUYE_1141,31
HC_HCM_425_NGUYEN_OANH_HC_1334,67
HC_HCM_NKKN_170,33
HC_HCM_213_HOANG_VAN_THU_618,36
HC_KHONG__VINCOM_CAO_LANH_505,136
HC_HN_KIM_ANH_TOWER_1312,30
HC_HCM_TSN_AIRPORT_K4_661,70
HC_HCM_533_NGUYEN_TRI_PHU_790,52
HC_KHONG__NGUYEN_UC_CANH_D7_725,33
HC_HN_LANG_VIET_KIEU_328,35
HC_BRVT_HOANG_HOA_THAM_219,51
HC_HN_DUONG_NOI_HA_ONG_567,38
HC_HCM_CITI_GROUND_187,54
HC_HCM_14B1_NGO_TAT_TO_HC_1371,48
HC_HN_KIOSK_HO_GUOM_48,37
HC_HCM_377_TAN_KY_TAN_QUY_440,48
HC_KHONG__VINCOM_BUON_MA_THU_512,101
HC_HN_59_61_NGUYEN_DINH__1190,45
HC_BNIN_SAMSUNG_V1_BAC_NIN_1321,105
HC_KHONG__KHU_O_THI_HUD_SON__671,46
HC_HN_ROYAL_CITY_R4_94,62
HC_HCM_SAIGON_ROYAL_410,39
HC_KHONG__SUN_PLAZA_SAPA_896,67
HC_BRVT_NGUYEN_AN_NINH_VTA_715,32
HC_HCM_BAO_MINH_TOWER_HCM_202,57
HC_HCM_AEON_TAN_PHU_277,48
HC_HCM_BITEXCO_167,32
HC_DNAI_KCN_SONG_MAY_TRANG_1266,106
HC_HCM_NGUYEN_VAN_TANG_TH_662,36
HC_NGHE_VRC_106,59
HC_HN_VINCOM_LIEU_GIAI_B_295,31
HC_HN_GAMUDA_GARDENS_HN_1239,37
HC_HCM_9A_KY_DONG_D3_1176,37
HC_KH_THONG_NHAT_NHA_TRA_770,31
HC_LDOMG_GA_DA_LAT_LD_1182,38
HC_HUE_102_PHAM_VAN_DONG__594,39
HC_HN_IMPERIA_MINH_KHAI__763,64
HC_HCM_TOA_NHA_CIENCO_4_323,41
HC_HCM_HUONG_LO_3_BINH_TA_1196,47
HC_HN_SUN_PLAZA_THUY_KHU_1201,31
HC_KHONG__WATER_FRONT_HP_784,39
HC_HN_139_HAO_NAM_546,44
HC_HCM_NGUYEN_DU_177,44
HC_HN_GREEN_STAR_91,55
HC_HCM_GA_XE_LUA_SAIGON_1169,48
HC_KGIANG_BAI_SAO_PHU_QUOC_660,67
HC_HCM_CITY_MUSEUM_164,36
HC_HCM_THE_SUN_AVENUE_408,55
HC_HCM_SAIGON_SOUTH_141,54
HC_DN_FPT_PLAZA_3_DA_NAN_1310,118
HC_HCM_CVPM_QUANG_TRUNG_H_632,47
HC_KH_FLORIDA_HOTEL_NT_426,50
HC_HCM_S2_02_VH_GRAND_PAR_543,42
HC_KHONG__TRAN_HUNG_AO_NAM_I_669,70
HC_HN_33_HOANG_CAU_HN_807,39
HC_HUE_TNL_PLAZA_363,32
HC_HCM_NO_1_BINH_CHANH_683,50
HC_DN_NGUYEN_TAT_THANH_D_565,89
HC_HCM_343_BEN_BINH_DONG__664,62
HC_BD_WORLD_TRADE_CENTER_600,84
HC_KH_CAM_RANH_AIRPORT_4_1265,65
HC_HP_HOANG_HUY_HAI_PHON_778,37
HC_HN_PHUONG_DONG_HOSPIT_1226,57
HC_HN_GOLDEN_CITY_LONG_B_517,62
HC_HCM_FIDECO_137,57
HC_DN_ONG_ICH_KHIEM_2_DN_914,108
HC_KHONG__296_NGUYEN_VIET_XU_1339,39
HC_DN_29_THANG_3_DA_NANG_685,110
HC_HCM_DUONG_35_CL_CAT_LA_1264,57
HC_QN_KCN_DONG_MAI_QUANG_1379,35
HC_HN_METRO_CAT_LINH_GAT_1273,52
HC_BRVT_252_QUOC_LO_55_XUY_689,30
HC_BD_22_THANG_12_THUAN__769,94
HC_HN_VIN_SMART_CITY_HN_499,39
HC_CT_389R_NGUYEN_VAN_CU_529,101
HC_HCM_THE_ORIGAMI_VH_GRA_1369,47
HC_HCM_XUAN_THUY_212,45
HC_HCM_PHO_QUANG_195,60
HC_HCM_GATEWAY_795,46
HC_KHONG__VINCOM_TRA_VINH_483,61
HC_HCM_TA_QUANG_BUU_508,53
HC_KHONG__DONG_HOI_AIRPORT_1_579,39
HC_HCM_GARDEN_PLAZA_138,50
HC_HCM_119_HAM_NGHI_405,39
HC_HCM_HAN_HAI_NGUYEN_273,30
HC_HCM_HOANG_DIEU_2_207,70
HC_HCM_49B_THAO_IEN_THU_U_787,51
HC_BD_KCN_MY_PHUOC_897,92
HC_HN_K_T_THANH_HA_HA_NO_705,41
HC_HN_115_QUAN_THANH_303,53
HC_DNAI_109_TRAN_HUNG_DAO__1332,106
HC_HCM_CENTRAL_MALL_BINH__254,36
HC_KHONG__43C_HAI_THANG_TU_N_1188,59
HC_HN_GAMUDA_GARDENS_376,48
HC_HN_CUONG_NGO_THANH_TR_636,58
HC_DLAK_BUON_MA_THUOT_AIRP_1174,80
HC_HCM_CHUNG_CU_PHU_MY_HC_1365,46
HC_KH_VIEN_ONG_NHA_TRANG_21,68
HC_HN_LE_DUAN_47,66
HC_HCM_BV_DH_Y_DUOC_TPHCM_1282,42
HC_HN_CHELSEA_71,50
HC_KHONG__SONADEZI_TOWER_607,106
HC_HN_PULLMAN_98,61
HC_DN_XVNT_DA_NANG_621,106
HC_KHONG__VINCOM_BAC_LIEU_504,41
HC_KHONG__VINCOM_THAI_NGUYEN_501,39
HC_BNIN_SAMSUNG_V3_BAC_NIN_1322,116
HC_LDOMG_GO_MALL_A_LAT_484,63
HC_HCM_COOP_LY_THUONG_KIE_557,43
HC_HCM_VINCOM_LE_VAN_VIET_734,55
HC_HUE_HOANG_VAN_THU_HUE_571,34
HC_HCM_SARICA_SALA_487,39
HC_BD_HIGHLANDS_COFFE_BE_916,76
HC_HN_LUONG_NGOC_QUYEN_296,39
HC_HN_ECO_CITY_HN_368,70
HC_GLAI_Z_BEACH_QUY_NHON_1309,117
HC_KHONG__IMPERIAL_HOTEL_HUE_262,41
HC_HCM_240_NGUYEN_VAN_LUO_246,32
HC_HCM_JOY_CITYPOINT_210,47
HC_KHONG__VINCOM_CA_MAU_602,81
HC_KHONG__ECO_GREEN_D7_736,60
HC_CT_VINCOM_XUAN_KHANH_119,118
HC_KHONG__NAM_INH_TOWER_101,69
HC_HN_METRO_LANG_HN_1275,65
HC_HCM_D23_CONG_HOA_TAN_B_1292,35
HC_HCM_VH_GRAND_PARK_D9_L_1308,69
HC_KHONG__CIC_LUXURY_LAO_CAI_614,64
HC_KHONG__STAR_HOTEL_LAO_CAI_568,42
HC_LOAN_NGUYEN_HUU_THO_LON_610,37
HC_HCM_CENTRAL_GARDEN_D1_1212,53
HC_BD_MIDORI_PARK_BD_313,108
HC_DN_LOTTE_13,87
HC_DNAI_8C1_DONG_KHOI_BH_396,99
DN_VTV8_BACH_DANG,60
HC_KHONG__MUONG_THANH_TUYEN__1200,62
HC_DN_NGUYEN_KIM_2,74
HC_DN_PHAN_CHAU_TRINH_DN_389,108
HC_HN_THANG_LONG_TOWER_1217,50
HC_HCM_VINCOM_3_THANG_2_Q_798,51
HC_HP_VINCOM_VU_YEN_HAI__1168,57
HC_KGIANG_TON_UC_THANG_RACH__691,63
HC_HCM_RIVERSIDE_D7_146,47
HC_HCM_PHAM_INH_HO_513,65
